bin,value
bin_0,0.000000
bin_1,0.000000
bin_2,0.000000
bin_3,0.000000
bin_4,0.000000
bin_5,0.000000
bin_6,0.000000
bin_7,0.000000
bin_8,0.000000
bin_9,0.000000
bin_10,0.000000
bin_11,0.000000
bin_12,0.000000
bin_13,0.000000
bin_14,0.000000
bin_15,0.000000
bin_16,0.000000
bin_17,0.000000
bin_18,0.000000
bin_19,0.000000
bin_20,0.000000
bin_21,0.000000
bin_22,0.000000
bin_23,0.000000
bin_24,1.000000
bin_25,39.000000
bin_26,41.000000
bin_27,27.000000
bin_28,51.000000
bin_29,170.000000
bin_30,621.000000
bin_31,1807.000000
bin_32,2064.000000
bin_33,1479.000000
bin_34,1465.000000
bin_35,1342.000000
bin_36,1447.000000
bin_37,1398.000000
bin_38,1380.000000
bin_39,1290.000000
bin_40,1359.000000
bin_41,1387.000000
bin_42,1420.000000
bin_43,1581.000000
bin_44,1572.000000
bin_45,1365.000000
bin_46,1381.000000
bin_47,1647.000000
bin_48,1452.000000
bin_49,1538.000000
bin_50,1527.000000
bin_51,1590.000000
bin_52,1565.000000
bin_53,1640.000000
bin_54,1574.000000
bin_55,1807.000000
bin_56,1757.000000
bin_57,1791.000000
bin_58,1895.000000
bin_59,1857.000000
bin_60,1932.000000
bin_61,1821.000000
bin_62,1843.000000
bin_63,1971.000000
bin_64,2014.000000
bin_65,1990.000000
bin_66,2010.000000
bin_67,2043.000000
bin_68,2008.000000
bin_69,1983.000000
bin_70,2084.000000
bin_71,2030.000000
bin_72,1884.000000
bin_73,2012.000000
bin_74,1763.000000
bin_75,1913.000000
bin_76,1709.000000
bin_77,1870.000000
bin_78,1806.000000
bin_79,1717.000000
bin_80,1520.000000
bin_81,1408.000000
bin_82,1337.000000
bin_83,1392.000000
bin_84,1503.000000
bin_85,1429.000000
bin_86,1509.000000
bin_87,1330.000000
bin_88,1267.000000
bin_89,1502.000000
bin_90,1467.000000
bin_91,1371.000000
bin_92,1298.000000
bin_93,1286.000000
bin_94,1395.000000
bin_95,1432.000000
bin_96,1154.000000
bin_97,1294.000000
bin_98,1117.000000
bin_99,975.000000
bin_100,1033.000000
bin_101,1060.000000
bin_102,977.000000
bin_103,845.000000
bin_104,970.000000
bin_105,961.000000
bin_106,847.000000
bin_107,851.000000
bin_108,804.000000
bin_109,796.000000
bin_110,808.000000
bin_111,839.000000
bin_112,727.000000
bin_113,734.000000
bin_114,793.000000
bin_115,727.000000
bin_116,729.000000
bin_117,780.000000
bin_118,698.000000
bin_119,633.000000
bin_120,721.000000
bin_121,668.000000
bin_122,627.000000
bin_123,740.000000
bin_124,593.000000
bin_125,572.000000
bin_126,550.000000
bin_127,487.000000
bin_128,595.000000
bin_129,522.000000
bin_130,449.000000
bin_131,573.000000
bin_132,419.000000
bin_133,541.000000
bin_134,497.000000
bin_135,492.000000
bin_136,682.000000
bin_137,433.000000
bin_138,760.000000
bin_139,520.000000
bin_140,525.000000
bin_141,532.000000
bin_142,465.000000
bin_143,777.000000
bin_144,698.000000
bin_145,501.000000
bin_146,569.000000
bin_147,627.000000
bin_148,513.000000
bin_149,613.000000
bin_150,559.000000
bin_151,409.000000
bin_152,504.000000
bin_153,505.000000
bin_154,521.000000
bin_155,358.000000
bin_156,465.000000
bin_157,383.000000
bin_158,456.000000
bin_159,480.000000
bin_160,394.000000
bin_161,371.000000
